,Name,Position,Age,Weight,Height,Pass Break,Intervention,Air Cannon,Shooting Percentage,Dribbling,Assists,Assists Per Game,Rust Percentage,Running Distance,Number of Matches,Classes
598,Matthew Alexander,Midfielder,19,85,177,6,14,10,68,64,6,2.0,98,200,155,0
599,Calvin Smith,Midfielder,20,77,198,13,15,8,32,86,18,2.0,98,300,149,0
600,Bill Alexander,Midfielder,34,70,175,15,6,10,73,70,21,0.5,59,500,102,0
601,Paul Wilson,Midfielder,16,76,175,16,10,9,59,51,21,0.4,32,250,149,1
602,Kyle Mendez,Midfielder,16,79,175,14,14,9,43,50,7,0.8,39,350,149,1
603,Jacob Harris,Midfielder,19,82,190,8,10,13,98,92,6,0.1,39,500,149,2
604,Steven Schwartz,Midfielder,17,82,175,14,13,13,43,92,21,0.1,39,500,102,1
605,Jonathan Massey,Midfielder,32,85,186,10,15,9,32,64,7,0.4,43,250,140,1
606,Shawn Berry,Midfielder,19,76,198,13,15,8,32,24,7,1.0,73,250,149,3
607,Kyle Bishop,Midfielder,21,79,190,13,8,13,43,51,6,1.0,59,300,102,0
608,Richard Diaz,Midfielder,17,77,177,10,14,13,32,64,3,1.4,39,500,145,1
609,Michael Shannon,Midfielder,16,79,177,13,6,9,68,51,16,0.4,39,250,90,1
610,Michael Lynch,Midfielder,32,76,190,14,13,8,68,86,21,0.1,59,500,155,0
611,Justin Schwartz,Midfielder,20,77,182,13,6,9,98,24,16,2.0,32,400,149,3
612,Nicholas Pittman,Midfielder,20,79,182,15,16,13,39,51,17,0.5,43,250,140,1
613,Jeremy Lee,Midfielder,34,77,198,13,15,18,43,70,3,1.0,43,350,150,1
614,Evan Johnson,Midfielder,36,79,198,6,15,8,43,24,18,0.4,43,300,90,3
615,Daniel Bailey,Midfielder,20,77,175,10,8,18,68,70,17,2.0,68,450,150,0
616,Nathan Mitchell,Midfielder,34,70,177,13,15,18,39,86,18,1.4,32,300,140,1
617,Dennis Parker,Midfielder,29,70,182,13,16,18,98,64,7,0.5,98,350,150,2
618,Juan Cooley,Midfielder,25,79,177,15,13,13,73,51,6,0.1,73,200,150,0
619,Steve Massey,Midfielder,17,79,198,10,14,13,32,51,17,0.8,73,300,102,0
620,Joseph Collins,Midfielder,20,70,190,10,10,8,68,92,7,0.1,59,200,145,0
621,Jason Reynolds,Midfielder,21,80,175,15,10,10,59,64,7,2.0,73,200,90,0
622,Thomas Pittman,Midfielder,32,70,177,16,13,10,43,50,3,0.4,68,450,145,0
623,Douglas Ramirez,Midfielder,19,85,175,6,16,13,59,64,6,0.8,43,200,149,1
624,Ryan Collins,Midfielder,20,70,198,14,10,16,59,50,3,1.0,59,500,102,0
625,Jason Donaldson,Midfielder,32,77,198,15,15,9,59,86,7,0.8,43,250,102,1
626,Brian Rodgers,Midfielder,18,77,195,10,13,18,43,70,21,2.0,39,400,102,1
627,Michael Stephens,Midfielder,18,79,186,15,14,8,73,51,17,1.4,32,200,145,1
628,Kevin Andrews,Midfielder,22,76,186,10,14,13,73,51,16,1.4,68,200,155,0
629,Dennis Manning,Midfielder,27,79,182,6,13,8,43,86,7,1.4,39,500,150,1
630,Alexander Baker,Midfielder,17,76,190,15,16,18,98,86,17,1.0,73,350,155,2
631,Randall Johnson,Midfielder,25,80,175,13,8,18,43,51,18,1.4,73,450,102,0
632,Ryan Cannon,Midfielder,36,85,198,8,16,8,39,64,21,0.5,43,500,140,1
633,Ronald Brooks,Midfielder,18,79,198,6,16,13,59,64,21,0.4,98,450,150,0
634,Kyle Hernandez,Midfielder,29,82,182,6,16,16,59,50,6,1.0,68,200,145,0
635,Ryan Rice,Midfielder,27,85,182,8,8,8,98,50,3,1.0,98,400,102,2
636,Jerry Greene,Midfielder,18,70,182,15,8,10,68,86,3,1.0,73,300,140,0
637,Patrick Ryan,Midfielder,20,80,182,8,10,16,73,51,16,2.0,32,400,145,1
638,Ronald Wilson,Midfielder,34,85,177,8,13,13,98,70,17,1.4,98,200,150,2
639,Antonio Norton,Midfielder,17,79,175,13,16,16,73,86,3,0.8,32,400,155,1
640,Gary Hunt,Midfielder,21,80,182,13,16,13,98,92,16,0.4,98,250,102,2
641,Jeremy Murray,Midfielder,18,77,186,13,15,9,32,64,7,0.5,39,350,149,1
642,James Ramirez,Midfielder,27,79,175,16,14,13,59,50,18,0.4,39,450,149,1
643,Edward Brown,Midfielder,34,82,186,16,13,10,43,86,7,2.0,98,500,90,0
644,Richard Sherman,Midfielder,21,85,175,10,10,13,43,92,6,0.1,98,300,140,0
645,Daniel Charles,Midfielder,27,85,195,14,6,9,98,50,7,0.5,39,350,140,2
646,Christopher Johnson DDS,Midfielder,34,85,182,15,16,10,68,86,7,0.8,98,450,149,0
647,Edward Lloyd,Midfielder,21,77,195,6,16,18,39,24,16,0.4,39,450,140,3
648,Corey Mccann,Midfielder,34,70,198,6,8,13,39,24,17,0.5,59,300,145,3
649,Steven Holt,Midfielder,17,70,190,16,10,9,98,51,3,0.1,59,350,90,2
650,John Cobb,Midfielder,21,79,195,15,16,16,73,24,7,1.0,39,350,145,3
651,Jimmy Hutchinson,Midfielder,18,85,175,16,16,9,39,64,18,0.4,98,250,150,0
652,Patrick Torres,Midfielder,27,76,186,6,10,13,39,86,21,0.8,59,300,149,0
653,Justin Ramirez,Midfielder,22,80,195,6,13,13,68,70,7,1.4,43,350,102,1
654,Anthony Cole,Midfielder,32,82,177,8,14,16,68,51,16,0.4,43,500,149,1
655,Steven Johnson,Midfielder,18,76,198,14,10,13,73,50,6,0.8,73,500,155,0
656,Eric Parker,Midfielder,16,77,177,16,15,9,68,50,7,0.8,32,450,140,1
657,Thomas Holmes,Midfielder,36,82,198,14,14,10,43,92,21,1.0,32,400,140,1
658,Alexander Coleman,Midfielder,21,85,198,14,13,9,98,86,7,0.4,39,200,140,2
659,Brian Knox,Midfielder,29,82,175,10,15,13,59,24,6,1.0,59,500,140,3
660,David Myers Jr.,Midfielder,34,80,186,15,10,8,98,70,3,1.4,73,500,155,2
661,John Hudson,Midfielder,34,77,177,6,6,13,39,50,16,1.0,32,450,150,1
662,Robert Mcgee,Midfielder,34,70,198,14,6,9,32,92,7,2.0,73,400,155,0
663,Anthony Ramirez,Midfielder,18,82,182,10,13,8,39,50,7,1.4,43,400,102,1
664,Austin Martinez,Midfielder,36,80,177,10,6,13,43,64,7,0.5,59,200,145,0
665,Mitchell Bond,Midfielder,16,85,190,13,14,8,68,92,18,0.1,73,200,149,0
666,George Donovan,Midfielder,32,79,177,6,14,13,73,92,16,2.0,59,450,155,0
667,Michael Barnes,Midfielder,34,80,190,14,10,8,43,24,16,2.0,32,500,102,3
668,Steven Jones,Midfielder,27,79,177,14,13,18,68,92,16,1.0,39,450,150,1
669,Jack Caldwell,Midfielder,20,76,177,14,10,16,32,86,21,2.0,32,200,102,1
670,Benjamin Myers,Midfielder,27,70,186,8,10,9,43,51,3,2.0,43,350,90,1
671,Joseph Bush,Midfielder,18,79,195,15,10,8,73,70,16,0.5,68,300,90,0
672,Michael Robinson,Midfielder,16,80,190,6,16,8,59,86,7,0.1,43,250,150,1
673,Robert Evans,Midfielder,17,80,182,6,6,8,39,24,3,2.0,98,450,145,0
674,Richard Watson,Midfielder,20,77,190,6,13,18,68,24,6,0.5,39,300,149,3
675,Jeffrey Taylor,Midfielder,18,79,175,10,13,9,59,92,16,1.0,39,250,149,1
676,David Bowman,Midfielder,20,85,175,15,10,18,73,50,3,2.0,68,300,150,0
677,Shane Thomas,Midfielder,29,85,177,14,14,9,68,24,21,0.4,68,450,140,3
678,Kevin Green,Midfielder,34,70,186,16,13,8,43,86,3,0.8,98,250,140,0
679,Alexander Smith,Midfielder,17,79,177,16,10,10,73,64,18,2.0,39,500,102,1
680,Jose Erickson,Midfielder,27,77,186,8,6,13,32,50,18,0.4,73,250,145,0
681,Anthony Allen,Midfielder,34,79,177,15,16,13,73,86,17,0.5,59,450,90,0
682,Jerry Adams,Midfielder,25,82,198,6,8,8,43,51,7,0.5,59,300,90,0
683,Mr. Matthew Hughes,Midfielder,25,76,175,16,15,13,73,50,18,2.0,59,450,150,0
684,Micheal Yu,Midfielder,29,76,182,6,14,13,68,50,3,0.4,32,350,102,1
685,Louis Lara,Midfielder,25,85,198,6,15,13,68,70,3,0.1,73,200,102,0
686,Stephen Simmons,Midfielder,21,79,186,8,13,18,32,51,6,0.8,73,450,149,0
687,Cody Kennedy,Midfielder,32,79,186,8,14,16,73,70,16,0.8,59,450,90,0
688,Michael Odom,Midfielder,36,77,198,13,6,18,98,24,3,1.4,98,350,90,3
689,Anthony Williamson,Midfielder,18,80,177,14,16,10,73,50,21,0.8,73,500,102,0
690,Erik Coleman,Midfielder,32,77,190,13,15,9,73,70,21,1.0,68,200,150,0
691,Alexander Peterson,Midfielder,36,76,186,6,16,8,59,86,17,0.5,43,200,102,1
692,John Burns,Midfielder,19,82,182,8,16,13,43,86,3,1.4,98,300,150,0
693,Cody Campbell,Midfielder,20,76,195,8,10,13,32,86,16,1.4,39,200,102,1
694,Keith Hawkins MD,Midfielder,22,79,177,16,10,10,32,64,16,0.1,39,300,90,1
695,Derrick Taylor,Midfielder,25,80,175,6,8,18,98,64,16,0.1,43,450,140,2
696,Eric Simmons,Midfielder,32,85,198,13,10,16,68,51,17,0.4,43,500,145,1
697,Christopher Ho,Midfielder,29,80,190,14,14,16,68,86,6,1.4,73,350,149,0
698,Gary Jones,Midfielder,34,82,175,10,14,13,59,70,21,0.4,73,250,102,0
699,Gregory Mccormick,Midfielder,22,82,186,13,14,18,59,24,3,0.5,59,450,102,3
700,Ethan Ellis,Midfielder,16,77,198,16,16,13,43,86,6,0.8,68,400,149,0
701,Timothy Thomas,Midfielder,29,76,182,13,15,8,32,51,6,1.4,32,400,149,1
702,Dr. Curtis Hart,Midfielder,27,70,182,8,16,16,98,64,16,1.0,43,500,102,2
703,Jeremiah Bruce,Midfielder,34,85,195,16,14,16,68,24,6,0.8,98,350,102,0
704,Scott Smith,Midfielder,29,80,177,8,14,13,68,86,6,1.4,73,200,149,0
705,John Harrison,Midfielder,19,80,177,15,14,13,39,64,7,0.1,32,400,102,1
706,Christopher Bean,Midfielder,27,82,182,15,10,13,68,50,7,2.0,73,400,145,0
707,Scott Snyder,Midfielder,20,70,186,8,8,18,73,50,17,1.0,32,350,149,1
708,Darius Marshall,Midfielder,21,85,198,8,15,18,43,92,7,2.0,68,350,155,0
709,Alex Garza,Midfielder,36,79,186,14,8,8,73,86,21,1.4,73,400,102,0
710,Calvin Morales,Midfielder,25,70,190,13,10,9,59,70,17,0.5,68,400,145,0
711,Nicholas Arias,Midfielder,27,79,190,13,16,13,39,51,7,1.0,68,450,140,0
712,Robert Prince,Midfielder,21,70,195,8,16,13,73,64,18,2.0,73,450,149,0
713,Blake Cross,Midfielder,18,76,186,8,10,9,43,92,16,1.4,68,400,149,0
714,Christopher Simon,Midfielder,22,76,190,8,14,9,59,50,18,1.4,73,350,155,0
715,Devon Mitchell,Midfielder,16,85,198,16,10,13,39,24,7,0.4,59,350,145,3
716,John Macdonald,Midfielder,19,82,186,13,6,13,68,51,17,0.5,59,300,149,0
717,Roberto Miller,Midfielder,27,77,186,13,16,9,98,51,17,1.0,73,300,90,2
718,Jeff Sandoval,Midfielder,16,85,190,14,15,8,73,24,17,0.4,59,350,145,3
719,James Watson Jr.,Midfielder,19,82,190,16,10,18,32,70,7,1.4,39,350,149,1
720,Dr. Christopher Brown,Midfielder,19,70,190,6,6,16,98,70,6,1.4,59,300,150,2
721,Dustin Grant,Midfielder,21,79,175,10,15,13,32,86,7,0.1,98,250,102,0
722,Russell Jordan,Midfielder,21,77,177,8,16,9,98,24,7,1.4,73,300,102,3
723,John Mcdonald,Midfielder,27,80,195,16,8,16,59,92,6,1.0,98,300,150,0
724,Robert Martin,Midfielder,34,80,198,10,6,10,43,64,3,2.0,59,350,155,0
725,Darren Solis,Midfielder,19,77,177,16,13,13,98,51,18,1.4,43,200,102,2
726,John Salazar,Midfielder,18,85,190,6,16,13,73,50,3,1.4,43,350,90,1
727,Trevor Hill,Midfielder,19,77,190,10,15,16,59,86,21,2.0,43,200,102,1
728,Daniel Armstrong,Midfielder,22,76,198,8,15,13,68,92,16,0.1,73,350,102,0
729,Michael Griffin MD,Midfielder,16,79,195,8,13,13,73,64,21,0.5,43,250,140,1
730,Charles Copeland,Midfielder,36,82,198,14,14,16,73,50,3,0.8,98,350,145,0
731,Gregory Morse PhD,Midfielder,18,82,177,14,15,13,73,86,3,0.4,32,350,150,1
732,Joseph Johns,Midfielder,21,79,190,14,15,13,43,86,17,0.5,39,350,140,1
733,Gregory Miller,Midfielder,17,80,175,15,8,18,39,92,3,1.0,73,250,90,0
734,Kevin Warren,Midfielder,21,80,175,13,8,8,43,64,3,0.8,43,200,140,1
735,Carlos Grimes,Midfielder,22,80,195,13,15,10,39,50,7,1.0,98,400,102,0
736,Patrick Weber,Midfielder,25,80,190,16,14,9,39,92,21,0.1,39,400,150,1
737,Ryan Nguyen,Midfielder,20,70,190,15,14,18,73,86,18,0.1,73,500,145,0
738,Adrian Berg,Midfielder,16,82,186,16,15,18,32,86,6,0.4,68,500,149,0
739,Mark Knight,Midfielder,32,76,195,16,10,13,68,51,3,1.4,43,450,102,1
740,Dennis Bryant,Midfielder,34,80,198,13,8,8,68,70,6,0.1,43,250,155,1
741,Brent White,Midfielder,27,85,177,8,8,16,98,70,6,0.8,73,200,145,2
742,Ian Wilson,Midfielder,19,80,198,15,10,16,59,24,6,1.0,39,400,149,3
743,Danny Whitehead,Midfielder,20,70,182,15,6,13,32,51,17,0.8,59,500,150,0
744,Nicholas Wilkerson,Midfielder,27,79,198,15,13,13,59,70,18,0.4,68,350,90,0
745,Christopher Holmes,Midfielder,25,70,190,10,15,9,73,92,3,0.4,32,200,145,1
746,Robert Ross,Midfielder,32,85,182,16,10,9,39,92,21,1.4,32,350,140,1
747,Thomas Casey,Midfielder,19,79,186,13,16,10,68,24,3,1.0,98,450,102,0
748,Roy Webster,Midfielder,25,77,186,6,13,10,43,86,16,0.1,59,200,140,0
749,Michael Weeks,Midfielder,29,70,175,14,14,8,32,86,7,1.4,32,500,155,1
750,Alexander Lara MD,Midfielder,21,70,175,8,13,13,59,86,3,0.8,98,500,90,0
751,Jeremy Ford,Midfielder,16,76,190,15,13,8,68,86,21,1.0,59,500,140,0
752,Douglas Stevenson,Midfielder,21,70,177,6,6,13,68,64,6,0.5,43,350,102,1
753,Robert Steele,Midfielder,36,82,175,16,10,9,39,51,16,0.1,43,500,90,1
754,Michael Cook,Midfielder,32,85,175,13,10,8,32,70,6,2.0,98,400,102,0
755,Jeffrey Bell,Midfielder,16,80,182,16,13,16,73,64,3,0.5,59,500,149,0
756,Christopher Webb,Midfielder,19,82,195,14,10,9,39,51,6,1.0,68,400,140,0
757,Daniel Baker,Midfielder,19,79,195,10,8,18,68,70,21,2.0,39,250,150,1
758,Justin Good,Midfielder,32,79,190,13,13,8,68,92,16,1.0,32,200,102,1
759,Travis Robinson,Midfielder,16,79,195,6,15,8,68,50,3,2.0,68,250,155,0
760,Bradley Wolf,Midfielder,25,76,198,8,8,13,98,64,3,1.4,59,200,90,2
761,Kevin Mitchell,Midfielder,16,80,195,15,6,13,43,51,7,0.4,59,450,150,0
762,Luke Mcdonald,Midfielder,17,76,195,16,15,16,39,50,21,2.0,59,400,145,0
763,Robert Harmon,Midfielder,32,76,190,15,10,13,32,70,17,0.5,39,300,155,1
764,Corey Parker,Midfielder,25,70,182,14,13,13,68,86,3,0.8,73,200,102,0
765,John Perez,Midfielder,34,70,175,13,16,8,68,51,17,0.5,68,300,150,0
766,Jared Hawkins,Midfielder,36,76,198,16,6,13,32,64,17,0.8,68,300,149,0
767,Brandon Erickson,Midfielder,27,80,195,13,10,18,73,92,3,0.1,39,300,90,1
768,Patrick Coleman,Midfielder,17,70,195,8,14,16,39,92,16,0.5,59,300,140,0
769,Lance Simmons,Midfielder,36,76,175,13,13,16,43,70,16,0.5,73,200,145,0
770,Shawn Marshall,Midfielder,36,82,177,6,14,13,32,64,21,0.5,68,200,102,0
771,Jeffrey Garrett,Midfielder,25,70,182,15,15,16,32,92,7,2.0,98,300,102,0
772,Steve Johnson,Midfielder,25,80,190,15,14,16,68,70,18,0.8,32,300,150,1
773,Gene Ford,Midfielder,32,80,177,10,16,13,32,51,17,0.1,73,250,155,0
774,Gary Phillips,Midfielder,19,79,182,10,15,13,43,86,16,0.4,73,250,150,0
775,Gregory Martin,Midfielder,21,79,195,13,6,10,39,24,18,0.8,32,400,145,3
776,Miguel Escobar,Midfielder,18,79,177,10,16,10,98,50,6,2.0,98,200,102,2
777,Henry White,Midfielder,32,80,182,13,6,16,98,24,21,1.4,39,300,155,3
778,Rodney Day,Midfielder,16,82,182,13,15,13,73,64,3,0.5,43,400,149,1
779,Jacob Wilson,Midfielder,36,85,195,15,16,13,32,24,7,2.0,68,500,149,3
780,Gregory Diaz,Midfielder,21,82,186,13,8,18,98,92,16,1.0,73,200,90,2
781,Brandon Rivas,Midfielder,20,70,198,13,13,13,68,70,18,0.1,59,250,150,0
782,Nicholas Hall,Midfielder,36,80,195,6,8,10,98,86,18,2.0,73,400,155,2
783,Maurice Anderson,Midfielder,27,79,175,14,10,8,98,24,3,0.8,39,350,150,3
784,Marcus Lara,Midfielder,21,77,195,14,6,10,98,51,3,1.0,68,300,150,2
785,James Johnson,Midfielder,16,76,195,16,6,9,32,70,3,0.4,39,350,102,1
786,George Thomas,Midfielder,27,70,182,10,8,8,73,92,17,0.8,73,300,155,0
787,Patrick Braun,Midfielder,29,82,198,15,10,10,98,86,7,0.8,68,250,149,2
788,Elijah Yates,Midfielder,20,85,195,13,6,10,59,64,3,0.1,98,300,150,0
789,Jeremy Mendez,Midfielder,32,70,175,13,16,18,43,92,7,0.4,59,300,149,0
790,Ronald Manning,Midfielder,18,77,195,15,13,8,68,51,18,0.5,43,400,140,1
791,Curtis Anderson,Midfielder,32,76,182,14,6,8,32,50,3,0.1,39,350,155,1
792,Russell Graves,Midfielder,19,76,190,16,15,13,73,64,3,2.0,32,400,155,1
793,John Saunders,Midfielder,34,76,190,10,10,18,39,70,21,1.4,32,450,155,1
794,Brandon Russell,Midfielder,34,79,177,13,14,13,39,24,6,0.4,73,500,149,3
795,Curtis Jackson,Midfielder,17,82,177,15,8,13,39,51,3,0.4,68,450,102,0
796,Kenneth Browning,Midfielder,21,77,186,8,14,8,73,50,3,0.8,39,450,150,1
797,Melvin Randall,Midfielder,36,79,177,14,6,9,43,24,21,1.0,98,400,90,0
798,Benjamin Rivera,Midfielder,25,76,177,13,14,9,43,64,18,2.0,59,250,155,0
799,Kevin Morales,Midfielder,20,79,177,14,13,9,59,92,17,0.1,59,250,149,0
800,Jesse White,Midfielder,29,85,195,8,16,18,98,92,7,0.1,32,500,150,2
801,Nicholas Gomez,Midfielder,17,76,190,14,16,18,59,51,18,0.4,32,300,150,1
802,Miguel Rodriguez,Midfielder,19,85,182,8,8,8,98,64,7,2.0,43,450,90,2
803,Thomas Simpson,Midfielder,16,82,175,8,15,10,68,51,3,0.8,39,500,150,1
804,Jacob Diaz,Midfielder,21,79,177,10,8,8,39,51,17,1.4,39,350,149,1
805,Joseph Saunders,Midfielder,20,80,195,8,10,8,98,86,6,0.4,68,500,150,2
806,Brandon Choi,Midfielder,19,85,182,10,14,9,32,92,21,0.8,73,250,140,0
807,Garrett Bauer,Midfielder,20,82,186,13,10,9,39,86,6,0.1,98,350,140,0
808,Aaron Holt,Midfielder,18,76,175,14,10,13,59,92,18,0.5,32,300,90,1
809,Alex Vargas,Midfielder,34,77,177,14,16,9,68,50,3,1.4,59,250,155,0
810,Sean Thomas,Midfielder,22,85,190,13,14,18,98,50,7,0.8,98,450,90,2
811,Thomas Phillips,Midfielder,29,80,198,14,16,8,68,50,6,2.0,43,250,140,1
812,Stephen Sanders,Midfielder,32,77,175,16,14,13,98,51,6,1.4,98,200,102,2
813,Charles Walker,Midfielder,21,85,190,10,6,10,73,86,6,1.0,32,300,150,1
814,Jason Newman,Midfielder,29,79,198,14,16,9,43,24,18,0.1,39,450,145,3
815,Craig Crawford,Midfielder,16,77,195,16,15,16,43,50,18,0.5,32,350,90,1
816,Lance Scott,Midfielder,22,77,182,6,8,10,98,51,16,0.5,98,500,150,2
817,Richard Lewis,Midfielder,29,76,177,10,14,18,59,92,17,2.0,68,350,90,0
818,Joel Solis,Midfielder,29,82,186,13,15,13,43,92,21,1.0,43,350,140,1
819,Bobby Stewart,Midfielder,20,77,175,14,10,18,32,51,6,0.5,98,250,150,0
820,Michael Griffin,Midfielder,29,77,186,10,6,16,32,64,6,1.0,68,350,150,0
821,Anthony Lawson,Midfielder,32,70,175,8,10,13,98,24,18,2.0,32,400,102,3
822,Timothy Newman,Midfielder,16,82,186,16,15,16,39,70,7,2.0,98,300,149,0
823,Anthony Cain,Midfielder,19,80,198,6,16,16,32,86,21,0.4,43,500,155,1
824,Brian Owen,Midfielder,32,79,198,13,8,13,73,51,17,0.1,32,200,145,1
825,Austin Myers,Midfielder,36,80,182,6,6,10,68,50,3,1.0,32,300,102,1
826,James Charles,Midfielder,32,85,186,14,16,8,39,24,18,0.8,73,300,145,3
827,Donald Rodriguez,Midfielder,25,79,198,16,8,10,98,24,6,0.1,68,200,155,3
828,Jeffrey Williams,Midfielder,21,82,198,14,14,18,39,92,16,2.0,43,350,155,1
829,Andrew Fernandez,Midfielder,17,76,190,8,14,16,39,24,16,2.0,43,500,155,3
830,Mr. Daniel Franco,Midfielder,22,70,182,13,13,13,43,24,17,0.4,39,200,140,3
831,Chad Brock,Midfielder,34,80,186,13,16,18,68,92,3,1.0,73,450,140,0
832,Charles Williams,Midfielder,25,79,186,10,14,13,39,86,6,1.0,68,500,145,0
833,Adam Mejia,Midfielder,22,77,195,6,14,13,59,64,16,1.4,73,200,90,0
834,John Owens,Midfielder,18,76,182,8,13,9,98,86,6,2.0,98,250,140,2
835,Justin Murphy,Midfielder,27,79,195,15,13,10,43,86,17,0.5,98,500,90,0
836,Michael Garcia,Midfielder,19,85,177,10,10,13,98,92,7,1.0,73,300,140,2
837,Craig Bailey,Midfielder,17,82,195,8,10,18,98,70,7,0.1,68,300,150,2
838,Joshua Campos,Midfielder,27,82,175,15,10,13,73,51,7,1.4,98,250,90,0
839,Don Rodriguez,Midfielder,36,82,198,13,10,18,68,24,3,1.4,59,400,155,3
840,Calvin Maynard,Midfielder,34,80,175,16,14,8,59,24,7,0.5,59,350,102,3
841,David Campbell,Midfielder,27,70,175,15,8,10,39,92,21,1.0,68,400,145,0
842,Austin Martin,Midfielder,17,80,186,10,10,10,32,24,6,0.5,59,300,150,3
843,Brandon Odonnell,Midfielder,16,82,175,16,10,18,98,70,21,1.0,98,200,90,2
844,Cody Young,Midfielder,19,76,190,8,10,9,98,64,16,0.1,43,250,149,2
845,Richard Green,Midfielder,22,82,190,16,15,18,73,51,7,0.1,32,200,90,1
846,Melvin Joyce,Midfielder,17,85,195,14,10,18,43,50,6,0.5,32,300,149,1
847,Jeffrey Curtis,Midfielder,36,77,182,15,13,10,39,24,17,0.1,68,300,149,3
848,John Lee,Midfielder,19,77,175,8,6,9,59,86,6,0.4,68,400,145,0
849,Shane Gates,Midfielder,25,80,190,6,6,10,43,51,16,0.4,68,450,140,0
850,Hunter Wilson,Midfielder,32,80,195,10,15,18,68,50,7,0.4,32,200,90,1
851,Michael Stout,Midfielder,21,80,182,14,8,9,43,24,6,0.5,98,250,155,0
852,Christopher Horn,Midfielder,34,77,177,15,16,10,73,64,21,0.4,98,400,140,0
853,Joseph Flores,Midfielder,22,77,195,10,10,8,32,92,21,0.5,73,250,149,0
854,Kenneth Miller,Midfielder,29,76,175,16,14,9,73,51,21,2.0,68,200,90,0
855,Michael Boyd,Midfielder,16,85,177,14,16,10,73,92,17,0.1,98,200,155,0
856,Steve Daniels,Midfielder,16,77,190,8,13,16,68,86,3,0.1,32,350,102,1
857,James Bradley,Midfielder,19,82,195,14,8,9,39,92,6,1.0,73,250,145,0
858,Aaron Morgan,Midfielder,25,76,195,8,10,13,32,86,3,2.0,39,200,150,1
859,Thomas Steele,Midfielder,18,82,177,15,8,9,98,70,21,0.8,68,300,150,2
860,Mark Williams,Midfielder,16,76,195,13,10,18,43,92,18,1.0,98,350,155,0
861,Jose Cruz,Midfielder,25,70,195,14,14,9,43,50,3,0.4,39,300,150,1
862,Brian Hayes,Midfielder,21,80,186,16,8,18,73,86,18,1.4,98,500,90,0
863,Benjamin Roberts,Midfielder,36,76,182,6,14,13,73,86,17,0.1,59,300,90,0
864,John Parker,Midfielder,34,85,177,8,10,9,39,64,21,0.1,98,450,149,0
865,Ray Stephens,Midfielder,32,82,177,15,8,16,73,70,17,0.5,59,350,150,0
866,Robert Robinson,Midfielder,27,79,175,14,15,18,43,86,6,1.4,43,200,149,1
867,Scott Johnson Jr.,Midfielder,16,70,198,15,15,9,98,92,16,0.1,39,450,90,2
868,Christopher King,Midfielder,36,79,198,15,10,18,68,86,17,0.5,32,450,102,1
869,Carl Blackburn,Midfielder,16,70,177,15,14,16,73,24,6,0.4,98,250,150,0
870,Mr. Michael Dillon,Midfielder,36,70,186,13,14,8,32,92,3,0.1,59,200,140,0
871,Mark Brown,Midfielder,22,79,195,10,6,16,68,50,7,0.1,73,450,90,0
872,Richard Coleman,Midfielder,34,80,198,14,8,18,68,64,16,0.1,73,500,155,0
873,Ronald Williams,Midfielder,32,80,177,6,6,13,32,86,6,0.5,68,300,145,0
874,Christopher Stewart,Midfielder,20,70,177,15,6,16,39,51,16,0.1,43,250,150,1
875,Jeffery Watson,Midfielder,32,85,177,13,6,10,68,86,6,0.1,98,350,90,0
876,Eric Burch,Midfielder,25,80,186,8,8,9,43,24,6,1.4,68,300,155,3
877,Brian Villa,Midfielder,19,76,186,16,13,8,39,64,18,0.1,68,350,145,0
878,Benjamin Miller,Midfielder,34,70,177,16,10,10,39,86,16,0.1,59,250,145,0
879,Joshua Barnes,Midfielder,19,85,186,6,13,10,73,92,21,2.0,59,450,145,0
880,Thomas Jackson,Midfielder,19,79,190,8,13,16,39,64,7,0.5,39,300,150,1
881,Eric Sparks,Midfielder,32,85,182,13,10,13,32,64,7,2.0,39,200,149,1
882,Dustin Barnes,Midfielder,21,82,198,6,8,16,73,51,18,0.8,98,200,149,0
883,Fernando Sullivan,Midfielder,22,79,182,14,8,18,68,51,6,2.0,73,200,102,0
884,Ryan Jones,Midfielder,25,76,177,15,13,13,32,64,21,0.1,43,350,150,1
885,Matthew Gentry,Midfielder,19,79,186,8,16,18,73,64,3,0.4,32,450,145,1
886,Jonathan Grimes,Midfielder,21,77,198,10,13,8,39,86,21,1.4,73,350,155,0
887,Benjamin Ross,Midfielder,29,76,175,15,6,10,43,51,7,2.0,98,450,145,0
888,Anthony Carlson,Midfielder,16,77,198,6,13,8,39,51,21,0.4,59,250,102,0
889,Danny Pearson,Midfielder,22,76,198,13,15,13,32,92,21,1.4,68,400,145,0
890,Eddie Mason,Midfielder,21,70,186,14,15,13,73,64,7,0.5,73,450,155,0
891,Mike Spence,Midfielder,34,77,198,10,15,13,98,51,16,0.4,73,350,155,2
892,Christian Edwards,Midfielder,27,82,182,6,10,16,68,70,7,0.4,98,200,90,0
893,Justin Berg,Midfielder,17,85,175,16,14,9,39,70,16,0.1,98,350,145,0
894,Jeffrey Contreras,Midfielder,34,85,186,6,6,10,32,50,6,1.0,59,350,145,0
895,Micheal Warren,Midfielder,21,79,195,10,16,18,98,50,18,0.1,32,200,155,2
896,Christopher Everett,Midfielder,17,82,182,6,16,18,39,86,6,0.5,59,200,90,0
897,Leonard Dudley,Midfielder,20,79,177,14,10,13,43,86,16,0.1,32,350,155,1
