,Name,Position,Age,Goal,Assist,Average Goals Per Game,Average Assits Per Game,Pass Percentage,Shooting Percentage on Goal,Playing Success,Whip a Cross,Tackle Percentage,Key Pass,Running Distance,Number of Matches,Classes
586,Blake Nguyen,Attacker,20,49,5,0.8,2.0,51,59,98,52,26,27,350,150,0
587,Bradley Rodriguez,Attacker,25,56,12,1.2,0.8,36,98,98,35,48,8,300,145,0
588,John Burton,Attacker,32,58,5,1.0,1.0,36,39,80,96,60,14,450,150,1
589,Raymond Gardner,Attacker,17,32,5,1.5,1.2,36,68,52,52,92,21,200,155,2
590,James Wiley,Attacker,36,58,13,0.2,1.0,86,39,30,35,86,14,250,90,3
591,Mitchell Leon,Attacker,16,58,18,1.3,0.8,86,59,52,96,42,15,400,90,1
592,Gerald Price,Attacker,20,42,12,1.3,1.3,36,73,48,40,26,15,450,149,0
593,Dr. Bryan Ramirez,Attacker,27,32,5,0.2,2.0,86,39,36,52,92,27,350,140,3
594,Andrew Hall,Attacker,16,49,12,1.3,1.0,86,98,52,80,26,14,300,149,1
595,Andrew Moody,Attacker,25,56,13,1.5,1.2,24,68,36,27,42,12,300,102,0
596,Scott Bradley,Attacker,17,26,15,0.5,1.2,24,68,48,35,86,21,350,150,2
597,Nathan Anderson,Attacker,36,32,12,0.8,1.3,64,68,52,40,48,12,300,90,0
598,Philip Miller,Attacker,29,26,9,1.5,2.0,24,59,55,27,92,21,500,149,2
599,Jeffrey Wilcox,Attacker,32,58,13,1.0,1.0,36,39,55,35,89,14,500,140,2
600,Thomas Lee,Attacker,21,39,12,0.5,1.0,36,59,80,52,60,8,300,145,0
601,Eric Burns,Attacker,34,39,5,0.2,1.2,24,39,80,40,26,15,500,90,0
602,Robert Turner,Attacker,27,49,18,0.5,1.3,50,98,80,52,89,15,500,145,2
603,Bradley Jones,Attacker,25,42,9,1.3,1.3,92,68,55,27,60,27,200,102,3
604,Larry Salinas,Attacker,17,56,18,1.3,1.3,51,59,48,89,42,15,400,102,1
605,Jeffrey Roberts,Attacker,16,39,13,1.0,0.8,92,73,36,52,89,21,200,90,3
606,Adam Manning,Attacker,27,32,13,1.3,0.5,24,98,36,35,26,27,300,150,0
607,Edward Mcguire,Attacker,27,39,15,0.5,0.8,64,32,48,89,86,5,350,102,1
608,Keith Smith,Attacker,25,32,12,1.0,0.5,64,32,36,89,92,21,350,149,1
609,Andrew Stanley,Attacker,20,26,12,1.3,1.2,51,98,48,96,92,12,450,150,1
610,Roberto Brown DDS,Attacker,18,26,9,1.2,1.2,36,98,30,27,86,27,200,90,2
611,Andrew Evans,Attacker,18,32,9,0.8,0.8,51,39,36,40,89,8,200,155,2
612,Ryan Green,Attacker,36,58,9,0.8,1.3,64,32,98,52,60,12,250,90,0
613,Bobby Harvey,Attacker,16,26,18,0.5,1.3,36,43,48,40,89,21,450,149,2
614,Sean Allison,Attacker,20,42,13,0.2,1.0,92,43,80,89,42,12,300,90,1
615,Brian Howard,Attacker,16,56,5,1.3,1.0,36,32,30,80,26,14,350,149,1
616,Steven Evans,Attacker,27,58,9,0.8,1.0,24,59,55,27,86,5,300,150,2
617,Robert Salazar,Attacker,17,39,9,1.5,1.5,36,43,55,40,89,21,200,140,2
618,John Fuller,Attacker,22,39,9,0.5,1.2,64,32,98,35,92,15,350,155,2
619,Edward Glover,Attacker,22,49,22,1.0,1.2,86,98,55,52,89,12,400,155,3
620,Kenneth King,Attacker,16,49,15,0.8,1.3,36,43,98,80,26,12,450,140,1
621,Antonio Johnson,Attacker,27,42,22,0.5,1.5,86,98,55,52,89,14,250,102,3
622,Ronald Arnold,Attacker,29,32,12,0.8,0.8,51,32,30,89,89,27,500,140,1
623,Michael Patrick,Attacker,36,58,15,0.5,1.3,50,43,80,35,86,12,500,102,2
624,Mr. Alex Stein,Attacker,29,42,22,1.2,1.0,92,32,30,96,92,12,450,102,1
625,Allen Daugherty,Attacker,25,42,22,1.3,1.5,92,39,30,35,26,8,500,90,3
626,Steven Lewis,Attacker,22,32,12,1.3,1.2,36,39,52,52,26,27,400,149,0
627,Adam Kelley,Attacker,32,49,5,0.5,1.0,36,32,55,89,60,21,350,145,1
628,Robert Arias,Attacker,16,26,18,1.2,0.8,36,68,80,27,60,8,350,102,0
629,Dan Clark,Attacker,16,32,12,0.2,1.5,64,98,48,40,48,14,450,150,3
630,Sergio Wood,Attacker,20,39,9,1.0,1.3,24,98,48,80,86,14,250,155,1
631,Randy Nguyen,Attacker,22,49,12,1.5,1.3,24,43,98,52,86,27,450,140,2
632,Kenneth Mills,Attacker,19,39,12,1.0,0.8,36,43,52,40,92,5,400,155,2
633,David Hill,Attacker,17,58,15,0.5,1.2,24,98,55,89,89,15,250,102,1
634,Brandon Brooks,Attacker,17,32,12,1.2,1.0,36,73,98,89,42,8,500,140,1
635,Mark Harding,Attacker,19,56,18,1.2,2.0,51,98,48,89,26,8,450,149,1
636,Michael Bridges,Attacker,16,56,9,0.8,1.2,64,39,55,40,42,14,250,140,0
637,Maurice Strong,Attacker,17,39,15,1.3,1.3,86,68,98,27,26,5,450,149,0
638,Devon Long,Attacker,16,42,5,1.5,0.5,36,73,36,52,89,15,350,149,2
639,Travis Haynes,Attacker,17,58,5,0.2,0.5,24,43,80,96,60,5,450,150,1
640,Michael Patterson,Attacker,27,58,5,1.2,1.0,36,39,55,40,26,21,500,150,0
641,Mark Hansen,Attacker,20,58,5,0.2,0.5,92,39,30,27,60,12,450,145,3
642,Charles Dunn,Attacker,20,58,18,1.3,1.0,86,32,98,89,89,12,400,90,1
643,Christopher Harvey,Attacker,36,49,9,1.3,1.5,24,43,98,96,60,8,400,145,1
644,Jacob Nelson,Attacker,16,26,15,0.5,1.5,36,73,48,52,26,14,300,155,0
645,Justin Nelson,Attacker,32,32,13,1.2,1.5,92,32,80,52,86,27,200,102,3
646,Edward Burns,Attacker,29,32,13,0.2,0.8,92,68,48,40,48,27,300,102,3
647,Thomas Huffman,Attacker,27,49,18,0.5,2.0,36,43,80,52,86,8,200,155,2
648,Benjamin Faulkner,Attacker,27,49,9,0.8,1.3,86,32,55,89,60,15,450,102,1
649,Peter Obrien,Attacker,16,26,13,1.5,1.0,86,59,80,80,86,21,200,140,1
650,Robert Marquez,Attacker,27,49,13,1.2,0.8,36,73,52,52,92,5,200,102,2
651,Ronald Thompson,Attacker,27,56,12,1.2,1.3,50,43,52,96,26,21,450,150,1
652,Nicholas Evans,Attacker,21,42,13,1.3,0.5,51,73,48,52,86,12,500,145,2
653,Brandon Turner,Attacker,20,56,18,1.2,1.2,36,98,36,80,86,27,300,90,1
654,David Cooper,Attacker,20,56,18,1.3,0.5,24,32,80,80,42,5,400,155,1
655,Ryan Torres,Attacker,32,32,9,0.5,1.5,51,98,55,52,92,27,350,90,2
656,James Simon,Attacker,34,56,15,1.2,1.3,64,98,30,96,42,15,400,140,1
657,Nathan Juarez DDS,Attacker,22,39,13,0.5,1.5,51,59,30,80,42,5,450,90,1
658,Eric Nelson IV,Attacker,36,39,15,0.5,0.8,36,59,52,52,60,27,200,145,0
659,David Reynolds,Attacker,36,58,12,0.5,1.2,36,32,98,89,60,27,300,150,1
660,Adam Henderson,Attacker,36,39,5,0.8,1.3,92,32,30,40,92,12,350,145,3
661,Marcus Irwin,Attacker,19,58,22,1.3,1.0,50,98,30,80,92,21,500,155,1
662,Paul Carroll,Attacker,18,32,5,1.2,1.0,51,39,52,52,60,8,200,140,0
663,Mark Pittman,Attacker,36,26,12,1.0,1.3,64,43,36,96,92,12,500,149,1
664,Steven Wilson,Attacker,18,39,5,0.8,0.8,92,43,80,27,86,27,450,149,3
665,Michael Jordan,Attacker,21,39,18,0.5,2.0,64,98,55,96,48,8,200,149,1
666,Robert Drake,Attacker,32,58,13,1.3,0.5,51,39,48,96,60,27,500,149,1
667,Kenneth Lester,Attacker,34,32,12,1.3,1.0,86,68,52,27,48,8,250,155,3
668,Robert Hernandez,Attacker,29,32,9,1.2,2.0,64,73,48,96,60,12,200,140,1
669,Ricky Johnson,Attacker,19,32,5,1.2,1.0,64,68,98,27,86,12,300,102,2
670,Joel Watts,Attacker,27,49,12,1.3,1.5,50,73,55,89,26,5,350,155,1
671,Jose Cook,Attacker,17,39,18,0.2,1.3,36,32,48,96,60,21,450,102,1
672,James Green,Attacker,21,58,12,0.5,1.2,51,43,30,40,42,8,450,90,0
673,Bryan Trujillo,Attacker,21,32,15,1.2,1.0,51,98,30,27,86,21,200,90,2
674,Ryan Bowman,Attacker,18,42,5,0.2,1.0,86,98,55,35,48,21,250,102,3
675,Gregory Harper,Attacker,21,58,15,1.0,1.5,92,59,48,40,86,21,350,149,3
676,Gabriel Stafford,Attacker,25,39,15,1.3,0.8,92,59,30,35,48,5,450,90,3
677,Joseph Wagner,Attacker,20,26,9,1.0,0.5,50,68,52,27,42,8,350,150,0
678,Dustin Wheeler,Attacker,22,49,13,0.5,1.0,92,32,52,40,48,15,500,155,3
679,James Goodman,Attacker,29,39,13,1.5,1.2,92,68,80,52,26,5,450,90,0
680,Ryan Buckley,Attacker,16,49,9,1.5,1.2,64,39,48,35,86,27,450,102,2
681,David Thompson,Attacker,27,58,22,1.0,1.0,24,73,98,52,48,8,300,140,0
682,Thomas Hammond,Attacker,17,58,18,0.5,2.0,64,98,98,52,26,8,500,102,0
683,Jacob Mcmillan,Attacker,19,49,5,1.0,1.0,51,39,55,27,86,15,400,90,2
684,Adam Morales,Attacker,34,58,9,1.5,0.5,64,68,30,27,42,8,500,102,0
685,Brandon Trevino,Attacker,18,49,13,1.5,1.5,36,59,52,96,89,5,200,140,1
686,Dustin Combs,Attacker,27,56,12,0.5,0.5,36,43,30,80,86,8,250,155,1
687,Anthony Willis,Attacker,21,56,5,0.8,1.2,50,59,30,80,92,12,400,150,1
688,David Zavala,Attacker,19,56,13,1.5,1.0,86,32,80,35,60,5,350,140,0
689,Jimmy Hall,Attacker,16,58,12,0.5,1.3,36,32,30,80,89,5,400,140,1
690,Joshua Lee,Attacker,17,49,9,0.5,1.5,92,59,36,27,48,5,350,140,3
691,Cody Schwartz,Attacker,22,49,5,1.5,1.2,64,59,55,80,60,21,250,90,1
692,Peter Johnson,Attacker,34,26,18,0.2,0.8,36,68,48,40,86,8,300,102,2
693,Perry Wagner,Attacker,25,56,18,1.0,1.2,50,32,55,89,42,5,250,145,1
694,Tony Mills,Attacker,29,26,22,0.5,1.0,50,59,98,80,60,27,200,102,1
695,Sean Hicks,Attacker,32,56,9,1.0,1.3,51,32,80,89,92,8,350,149,1
696,Aaron Murray,Attacker,25,39,13,0.8,1.0,92,98,52,80,26,8,300,140,1
697,Jesse Sims,Attacker,22,39,5,0.5,1.0,51,98,80,27,89,8,400,145,2
698,Richard Hopkins,Attacker,16,39,15,1.5,1.0,24,32,52,89,92,5,400,140,1
699,Anthony Peters,Attacker,36,26,12,1.3,1.0,64,68,36,89,26,12,400,149,1
700,David Richard,Attacker,27,56,18,1.3,1.5,86,59,30,35,48,14,200,149,3
701,Todd Wyatt,Attacker,16,49,12,0.2,1.0,36,43,80,96,89,15,200,149,1
702,Adam Reed,Attacker,19,56,13,0.5,1.3,92,32,80,52,60,15,350,155,0
703,David Garrison,Attacker,32,32,5,0.5,1.0,51,43,80,96,42,5,500,149,1
704,Chad Harper,Attacker,20,49,18,1.2,2.0,50,39,30,40,48,5,300,149,0
705,George Hill,Attacker,18,58,18,0.2,2.0,64,59,52,96,42,21,250,149,1
706,Brett Lane,Attacker,18,49,15,1.2,0.8,51,59,36,80,60,8,500,145,1
707,Alan Chang,Attacker,29,58,22,0.2,1.5,51,39,36,80,42,12,450,155,1
708,Mr. Christopher Brennan,Attacker,25,42,13,1.0,1.5,51,39,30,40,48,5,450,102,0
709,Anthony Herman,Attacker,17,56,18,0.8,2.0,64,32,80,96,60,14,200,149,1
710,David Nicholson,Attacker,32,56,22,0.8,0.5,64,59,48,52,60,27,500,150,0
711,Douglas Robles,Attacker,36,49,13,1.3,1.2,64,73,55,52,86,21,400,102,2
712,Jonathan Elliott,Attacker,16,58,18,1.0,1.2,50,32,98,89,42,21,200,140,1
713,Ryan Mccarthy,Attacker,25,39,13,1.5,2.0,36,39,52,80,86,5,200,150,1
714,Brandon Glass,Attacker,18,42,9,1.3,0.5,50,73,30,27,86,8,250,140,2
715,Bill Brown,Attacker,21,42,15,1.0,2.0,51,39,98,27,42,8,450,140,0
716,Russell Spencer,Attacker,18,32,9,0.2,1.2,36,39,98,35,89,5,450,90,2
717,Mark Barrett,Attacker,34,32,12,1.3,1.3,92,39,48,89,26,15,200,140,1
718,Steven Roberts,Attacker,32,39,9,0.8,0.8,86,73,48,35,86,21,350,149,3
719,Nicholas Richardson,Attacker,20,32,9,1.2,1.5,24,43,55,40,89,12,350,102,2
720,Ernest Myers,Attacker,25,56,15,0.8,1.5,51,68,98,35,26,21,350,90,0
721,Andrew Nguyen,Attacker,21,26,12,1.3,0.5,51,39,80,96,48,14,300,90,1
722,Mason Deleon,Attacker,21,56,15,0.5,1.5,36,43,30,52,60,12,300,149,0
723,Daniel Greer,Attacker,17,42,12,0.8,0.8,64,68,80,40,92,27,350,90,2
724,Ryan Russo,Attacker,25,26,15,0.2,0.5,64,73,30,96,48,21,500,102,1
725,Nicholas Duncan,Attacker,22,39,5,0.8,1.3,24,39,98,80,60,27,250,150,1
726,Brian Lang,Attacker,21,32,9,0.2,1.3,92,32,55,40,26,15,500,102,3
727,Stephen Cowan,Attacker,18,56,22,1.2,1.2,50,98,98,35,48,27,250,149,0
728,Mr. Timothy Hughes,Attacker,34,49,5,0.8,1.2,51,59,48,52,92,27,450,145,2
729,Patrick Perry,Attacker,32,32,18,0.5,1.0,92,32,36,52,60,12,300,149,3
730,Steven Monroe,Attacker,36,49,13,1.5,0.5,64,98,98,27,26,8,500,145,0
731,Steven Caldwell,Attacker,21,56,5,1.0,2.0,36,68,52,27,48,27,450,145,0
732,Nathan Garcia,Attacker,22,42,5,0.5,0.5,64,98,30,89,89,14,250,145,1
733,Samuel Kirby Jr.,Attacker,32,42,15,1.3,0.5,92,68,80,27,86,15,500,145,3
734,Dylan Garrett,Attacker,27,32,5,1.2,0.5,24,43,80,89,42,8,400,140,1
735,John Arellano,Attacker,18,32,5,1.2,1.2,36,68,98,52,89,8,300,90,2
736,George Hunt,Attacker,17,26,13,1.0,0.8,51,39,55,52,60,5,350,140,0
737,Duane Franco,Attacker,36,49,12,0.8,0.8,51,43,30,80,48,21,250,145,1
738,Dennis Flowers,Attacker,20,42,12,1.3,1.5,24,68,52,52,42,14,250,145,0
739,David Thomas,Attacker,25,49,15,0.2,1.0,36,39,36,80,26,14,400,149,1
740,Gary Beltran,Attacker,34,42,12,1.0,1.0,50,32,52,89,60,15,200,102,1
741,Ronnie Leach,Attacker,18,32,13,0.8,0.5,64,32,55,40,89,5,450,149,2
742,Chris Rivera,Attacker,21,56,18,1.5,2.0,50,32,36,35,42,12,200,145,0
743,Brett Nicholson,Attacker,21,39,12,0.5,2.0,24,68,98,27,42,15,200,145,0
744,Timothy Daniels,Attacker,32,58,12,1.2,0.5,92,59,48,89,42,21,450,102,1
745,Mr. Henry Robbins PhD,Attacker,18,49,15,0.2,1.5,51,39,30,27,60,14,500,102,0
746,David Patterson,Attacker,16,56,5,1.5,0.5,24,39,80,52,48,15,250,155,0
747,Patrick Cruz,Attacker,32,58,15,1.3,1.3,92,68,98,96,86,15,400,145,1
748,Ethan Brown,Attacker,29,39,12,0.2,0.5,24,98,80,35,86,8,400,145,2
749,Patrick Ramsey,Attacker,32,42,9,0.8,1.3,51,68,52,80,89,12,250,140,1
750,Jon Ortiz,Attacker,34,58,18,0.8,1.2,50,68,52,27,86,12,250,90,2
751,Ethan Moore,Attacker,25,39,15,1.3,2.0,24,32,55,96,26,8,400,145,1
752,Isaac Carr,Attacker,19,49,15,1.0,2.0,50,59,48,96,92,12,400,90,1
753,Eric Thompson,Attacker,21,56,12,0.2,1.5,64,43,52,80,60,15,300,150,1
754,David Alvarez,Attacker,25,42,5,1.2,2.0,24,59,48,89,26,12,250,155,1
755,Anthony Hood,Attacker,32,32,15,0.2,0.5,36,98,80,40,92,15,300,155,2
756,Duane Carr,Attacker,36,39,9,0.5,1.5,24,59,48,40,86,5,450,145,2
757,Shawn Henderson,Attacker,32,58,22,0.2,1.2,92,32,52,35,86,15,500,102,3
758,Ronald White,Attacker,17,26,12,0.8,1.3,24,43,55,89,89,14,200,149,1
759,Javier Rowe,Attacker,19,32,9,1.5,1.5,36,73,36,52,89,15,250,140,2
760,Rodney Miller,Attacker,17,58,13,1.3,0.8,36,59,80,27,86,21,450,155,2
761,Alan Kirby,Attacker,34,26,12,1.2,1.0,36,32,48,52,42,21,250,102,0
762,Francis Walsh,Attacker,17,26,9,1.5,2.0,51,59,36,27,26,5,250,145,0
763,Garrett Gutierrez,Attacker,16,49,15,1.3,1.3,51,32,98,89,92,15,300,149,1
764,Daniel Daniels,Attacker,20,49,15,0.2,0.8,64,32,98,89,26,21,200,102,1
765,Jeffrey Watson,Attacker,27,56,15,1.5,0.5,86,32,80,27,92,12,350,155,3
766,Alfred Rice,Attacker,16,56,5,1.2,0.5,50,98,55,96,86,21,450,90,1
767,David Meza,Attacker,27,26,18,1.0,0.5,50,59,55,35,26,8,250,90,0
768,Gregory Ray,Attacker,17,58,15,1.0,1.0,36,32,30,89,42,21,400,149,1
769,Steven Perez,Attacker,16,56,9,0.2,1.3,51,73,98,52,92,5,350,140,2
770,Scott Leach,Attacker,18,56,13,1.3,0.5,86,59,30,35,89,12,300,102,3
771,Todd Knox,Attacker,16,58,15,1.2,1.2,50,59,30,80,42,15,300,102,1
772,Tony Mann,Attacker,27,42,22,1.2,2.0,92,73,80,35,92,15,500,155,3
773,Jason Park,Attacker,25,42,22,1.3,1.0,50,32,52,52,92,27,350,150,2
774,Daniel Clark,Attacker,18,58,13,1.0,1.3,50,68,80,96,42,27,400,140,1
775,Jaime Bush,Attacker,29,42,15,1.3,0.5,24,98,30,80,26,5,350,145,1
776,Brett Carter,Attacker,34,26,5,1.2,1.2,51,73,30,52,86,5,200,150,2
777,Donald Aguilar,Attacker,32,42,12,0.8,1.2,50,32,48,80,89,21,350,140,1
778,Ryan Ritter,Attacker,19,26,12,0.5,1.0,86,39,36,35,60,15,300,102,3
779,Jeffrey Montgomery,Attacker,19,56,15,1.0,1.0,36,98,80,52,92,21,250,149,2
780,Jason Chavez,Attacker,22,56,9,1.2,1.0,92,68,80,89,48,27,450,149,1
781,Paul Cox,Attacker,21,32,18,0.5,1.3,36,73,80,80,42,5,450,155,1
782,Jesus Watkins,Attacker,20,58,13,1.0,0.8,24,98,36,27,48,21,450,140,0
783,Joseph Myers MD,Attacker,18,49,5,1.0,1.0,24,39,30,89,48,14,450,90,1
784,Tracy Evans,Attacker,19,49,12,1.5,0.8,51,73,52,80,26,12,450,102,1
785,Joseph Obrien,Attacker,17,56,18,1.0,1.5,24,59,80,89,89,14,500,145,1
786,Jorge Clark,Attacker,19,42,9,1.0,1.3,51,59,98,89,60,5,200,149,1
787,Samuel Ferguson,Attacker,27,58,15,1.5,1.2,86,68,48,27,60,27,450,150,3
788,Melvin Diaz,Attacker,19,56,22,1.3,1.3,36,32,48,89,86,27,200,145,1
789,Mr. Anthony Douglas,Attacker,25,39,9,1.0,1.2,36,68,36,96,48,21,350,140,1
790,Robert Mccormick,Attacker,29,26,15,1.2,0.5,51,39,52,89,60,5,450,90,1
791,Derek Robertson,Attacker,29,39,5,1.3,0.8,51,43,30,40,26,15,350,149,0
792,Daniel Fitzpatrick,Attacker,22,32,18,0.5,2.0,36,43,80,52,48,15,400,90,0
793,Matthew Diaz,Attacker,20,26,15,1.3,0.8,92,73,52,96,42,14,200,150,1
794,Mr. David Payne,Attacker,20,56,22,0.5,1.5,51,73,36,40,92,5,450,90,2
795,David Miller,Attacker,22,39,5,0.5,1.0,86,98,48,27,86,15,300,155,3
796,Nicholas Francis,Attacker,27,42,13,1.2,0.5,51,68,30,35,92,5,350,140,2
797,Robert Olson,Attacker,36,58,12,1.2,1.2,24,39,36,89,89,21,300,150,1
798,Matthew Vazquez,Attacker,34,26,9,1.2,1.3,24,98,55,96,48,5,250,90,1
799,Matthew Willis,Attacker,36,49,15,0.8,0.5,51,73,52,35,60,27,450,102,0
800,Marcus Ryan,Attacker,25,26,18,0.8,1.0,36,98,55,40,48,14,200,140,0
801,Kevin Mckenzie,Attacker,25,56,13,1.0,0.8,92,68,98,80,92,8,200,90,1
802,Eric Fletcher,Attacker,17,42,15,1.3,1.0,50,68,80,27,60,14,450,149,0
803,Justin Valentine,Attacker,17,49,15,1.2,1.5,92,73,30,89,86,14,300,145,1
804,Joshua Cox,Attacker,34,56,9,0.8,0.5,50,68,98,27,89,8,500,102,2
805,Derek Davis,Attacker,29,39,13,0.5,1.0,86,98,98,80,92,15,300,145,1
806,Seth Bradley,Attacker,21,39,9,0.2,2.0,86,73,98,80,60,5,250,155,1
807,Jeffrey Fischer DVM,Attacker,34,49,9,0.2,0.5,24,59,48,52,60,21,250,102,0
808,Gregory Hale,Attacker,25,39,18,1.5,2.0,86,32,55,89,26,21,250,150,1
809,Jesse Marquez,Attacker,17,32,22,1.2,2.0,92,98,36,89,60,8,300,155,1
810,Edgar Dunn,Attacker,25,42,9,1.3,1.0,51,32,98,96,42,27,450,102,1
811,Daniel Walker,Attacker,21,58,22,1.2,2.0,50,32,52,96,86,21,500,145,1
812,Darryl Singh,Attacker,36,49,12,1.2,1.0,50,68,30,35,86,21,200,102,2
813,Joseph Bell,Attacker,34,58,12,1.3,1.0,92,68,55,27,89,21,250,145,3
814,Lawrence Jones,Attacker,17,49,22,1.3,2.0,36,32,36,35,86,14,300,145,2
815,Richard White,Attacker,21,49,9,1.5,1.3,86,68,98,80,48,27,400,102,1
816,Joshua Evans,Attacker,22,42,22,1.2,1.3,50,39,48,52,86,21,300,150,2
817,Shawn Jones,Attacker,21,42,12,0.5,1.3,51,73,55,27,60,8,200,149,0
818,Frank Armstrong,Attacker,34,26,18,1.2,0.5,24,73,98,52,60,15,350,155,0
819,Kevin Bush,Attacker,27,32,22,0.5,0.8,50,43,80,89,89,5,300,149,1
820,Trevor Castillo,Attacker,20,42,18,1.3,1.5,36,59,30,35,48,5,200,149,0
821,Joshua Patterson,Attacker,22,26,9,0.2,0.8,92,39,55,80,60,12,300,102,1
822,Philip Diaz,Attacker,17,56,22,0.2,0.8,24,68,30,35,42,8,500,140,0
823,James Freeman,Attacker,21,32,12,0.2,0.5,92,32,80,27,86,5,200,102,3
824,Shawn Johnson,Attacker,34,32,13,1.0,1.5,86,98,98,27,60,15,250,102,0
825,Brent Washington,Attacker,29,32,22,1.5,2.0,50,98,98,40,86,15,450,155,2
826,Michael Obrien,Attacker,21,39,22,0.5,1.5,24,32,98,89,42,8,250,145,1
827,Ruben Lawson,Attacker,21,49,18,0.2,1.0,64,68,98,89,86,14,400,102,1
828,Christopher Lara,Attacker,22,56,22,1.3,1.3,50,59,55,89,89,15,400,149,1
829,Robert Morse,Attacker,20,32,13,0.2,1.2,86,43,36,40,60,14,200,102,3
830,Matthew Farley MD,Attacker,20,49,12,1.5,0.5,50,43,98,89,86,5,500,150,1
831,Marcus Howard,Attacker,32,49,18,1.0,0.8,86,59,55,89,26,5,250,149,1
832,Gregory Henderson,Attacker,29,42,22,1.2,2.0,50,32,30,35,26,12,200,149,0
833,Robert Rodgers,Attacker,27,39,9,0.8,1.3,51,59,98,40,48,5,450,150,0
834,Richard Becker,Attacker,25,58,13,0.2,1.5,24,32,36,96,89,14,250,155,1
835,Joshua Davis,Attacker,36,58,18,1.5,1.2,24,43,52,35,92,12,300,90,2
836,Austin Cole,Attacker,16,58,5,1.5,2.0,51,68,36,35,89,27,500,90,2
837,Richard Norris,Attacker,18,56,22,0.5,1.5,86,98,36,35,48,12,350,90,3
838,David Ramirez,Attacker,34,49,5,0.5,1.2,92,68,36,40,89,12,200,102,3
839,Harold Diaz,Attacker,29,58,22,1.2,1.0,24,73,48,80,89,14,300,145,1
840,Brian Oliver,Attacker,22,26,15,1.2,2.0,24,43,36,89,42,15,400,102,1
841,Mark Bray,Attacker,18,32,12,0.2,1.5,64,39,52,89,42,21,300,90,1
842,Andre Morris,Attacker,36,56,12,1.5,2.0,86,59,30,27,26,27,450,155,3
843,David Clark,Attacker,16,26,9,0.8,2.0,50,59,80,27,60,27,450,145,0
844,Shaun Miller,Attacker,32,56,22,0.8,1.5,50,32,80,52,92,21,250,90,2
845,Carl Hall,Attacker,17,39,13,0.2,0.5,24,59,30,40,86,27,200,102,2
846,Joseph Perkins,Attacker,29,26,22,0.8,0.5,50,98,55,35,42,27,400,140,0
847,Mitchell Roman,Attacker,25,39,5,1.2,0.5,24,68,98,40,42,14,350,155,0
848,Michael Rivera,Attacker,21,26,9,1.2,0.8,51,59,36,27,42,8,350,155,0
849,Marcus Rodriguez,Attacker,36,49,9,0.5,1.2,36,73,55,40,86,21,200,155,2
850,Jared Jackson,Attacker,32,56,18,0.8,0.5,92,32,80,27,86,8,250,155,3
851,Andrew Macdonald,Attacker,21,56,5,1.5,1.3,24,68,98,27,86,5,300,90,2
852,Andrew Camacho,Attacker,21,58,5,1.5,2.0,36,98,52,96,48,12,450,140,1
853,Cole Johnson,Attacker,16,58,9,1.3,2.0,86,68,30,35,48,12,350,102,3
854,Billy Cox,Attacker,22,42,18,1.0,1.5,64,98,98,80,89,21,400,102,1
855,John Andrews,Attacker,36,56,13,0.5,2.0,92,43,36,40,92,27,400,102,3
856,Benjamin Martin,Attacker,17,56,9,1.0,2.0,64,68,98,89,86,8,350,149,1
857,Douglas Marshall,Attacker,34,42,18,0.5,1.2,24,73,55,89,89,12,250,90,1
858,Edward Patterson,Attacker,20,39,18,1.5,0.8,86,39,30,80,60,12,250,140,1
859,Rick Lester,Attacker,16,26,5,1.3,0.8,24,73,48,80,89,12,200,155,1
860,Connor Bradley,Attacker,20,32,22,0.2,1.0,24,39,52,80,42,8,200,150,1
861,Brian Rubio,Attacker,34,42,13,0.8,1.5,64,98,30,80,26,15,400,149,1
862,Robert Thompson,Attacker,21,49,9,1.3,1.2,92,32,36,40,92,8,500,102,3
863,Jason Carter,Attacker,19,58,5,0.2,1.3,36,98,30,80,92,27,400,149,1
864,Daniel Forbes,Attacker,32,56,9,1.3,1.2,24,39,36,27,48,8,350,90,0
865,Jacob Crawford,Attacker,27,42,22,0.2,1.3,86,68,30,96,89,14,200,102,1
866,James Martin,Attacker,32,26,12,1.2,1.5,92,68,55,89,48,21,350,102,1
867,Eric Norman,Attacker,16,58,22,0.5,1.0,92,43,55,40,26,14,300,145,3
868,Jorge Tucker,Attacker,36,49,22,1.3,1.3,24,39,80,52,92,14,200,145,2
869,Shane Olson,Attacker,29,32,18,0.8,1.5,36,98,52,80,92,12,300,102,1
870,Mike Brady,Attacker,36,32,15,0.2,1.3,36,73,30,80,60,5,300,140,1
871,Anthony Potts,Attacker,34,58,15,1.5,1.0,50,98,55,52,89,12,200,140,2
872,James Doyle,Attacker,29,49,22,0.5,2.0,64,73,36,27,48,5,300,150,0
873,Timothy Ibarra,Attacker,16,39,9,0.2,1.0,86,43,98,27,26,21,200,150,0
874,Patrick Green,Attacker,36,56,18,0.5,0.8,86,73,48,35,26,8,300,149,3
875,Johnny Shea,Attacker,27,58,9,1.3,1.5,92,68,80,52,60,14,300,140,0
876,Joel Deleon,Attacker,20,42,9,0.2,1.2,36,59,48,35,48,14,300,140,0
877,Devon Chavez,Attacker,32,32,18,0.5,1.0,24,39,55,40,92,27,500,90,2
878,Spencer Allen,Attacker,20,32,9,1.2,0.5,36,73,48,89,48,12,500,149,1
879,Jason Guzman,Attacker,27,58,22,0.5,2.0,50,39,98,80,86,27,350,145,1
